Altium Designer Pick and Place Locations
D:\Altium Project\orenelimelech11 Projects\AC Dimming\Project Outputs for AC Dimming\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       02/02/23
Time:       20:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment             Layer       Footprint            Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                               
R63        "47 Ohm"            TopLayer    R_1206               97.7875      72.5000      0        "Res Thick Film 1206 47 Ohm 1% 1/2W ±200ppm/°C Molded SMD Paper T/R"                                                                                                                                                                                      
R58        "47 Ohm"            TopLayer    R_1206               49.9625      15.5000      180      "Res Thick Film 1206 47 Ohm 1% 1/2W ±200ppm/°C Molded SMD Paper T/R"                                                                                                                                                                                      
R57        "47 Ohm"            TopLayer    R_1206               87.0375      72.7500      0        "Res Thick Film 1206 47 Ohm 1% 1/2W ±200ppm/°C Molded SMD Paper T/R"                                                                                                                                                                                      
R56        "47 Ohm"            TopLayer    R_1206               20.7875      72.5000      0        "Res Thick Film 1206 47 Ohm 1% 1/2W ±200ppm/°C Molded SMD Paper T/R"                                                                                                                                                                                      
R55        "47 Ohm"            TopLayer    R_1206               38.4625      15.5000      180      "Res Thick Film 1206 47 Ohm 1% 1/2W ±200ppm/°C Molded SMD Paper T/R"                                                                                                                                                                                      
Y2         ABS07-32.768KHZ-6-T BottomLayer XTAL_32.768_KHZ_SMD  68.0000      38.5000      225      "Crystal 0.032768MHz ±20ppm (Tol) 6pF Flexural 70000Ohm 2-Pin CSMD T/R"                                                                                                                                                                                   
Y1         ECS-80-20-4X        TopLayer    XTAL_8_MHZ           88.5000      42.2500      180      "Crystal 8MHz ±30ppm (Tol) ±50ppm (Stability) 20pF FUND 80Ohm 2-Pin HC-49/USX Thru-Hole Bulk"                                                                                                                                                             
U37        BTA16-600BRG        TopLayer    BAT16                97.0500      77.0000      180      "TRIAC Standard 600V 16A Through Hole TO-220AB"                                                                                                                                                                                                           
U36        BTA16-600BRG        TopLayer    BAT16                31.0500      77.0000      180      "TRIAC Standard 600V 16A Through Hole TO-220AB"                                                                                                                                                                                                           
U35        MOC3021S            TopLayer    SMD_6                96.0000      65.5000      90       "MOC302x Series 1 Channel 400 V 5000 Vrms Surface Mount Triac Optocoupler - SMD-6"                                                                                                                                                                        
U34        MOC3021S            TopLayer    SMD_6                29.7500      65.5000      90       "MOC302x Series 1 Channel 400 V 5000 Vrms Surface Mount Triac Optocoupler - SMD-6"                                                                                                                                                                        
U33        BTA16-600BRG        TopLayer    BAT16                52.5500      10.9000      0        "TRIAC Standard 600V 16A Through Hole TO-220AB"                                                                                                                                                                                                           
U32        MOC3021S            TopLayer    SMD_6                51.5000      22.2500      270      "MOC302x Series 1 Channel 400 V 5000 Vrms Surface Mount Triac Optocoupler - SMD-6"                                                                                                                                                                        
